Author ID,Author Name,Author URL
39481716,M. Corry,https://www.semanticscholar.org/author/39481716
1400383433,Catalina Amuedo-Dorantes,https://www.semanticscholar.org/author/1400383433
4059419,Cynthia Bansak,https://www.semanticscholar.org/author/4059419
40392273,Susan Pozo,https://www.semanticscholar.org/author/40392273
47693041,G. Myrdal,https://www.semanticscholar.org/author/47693041
72083874,Peter R. Cox,https://www.semanticscholar.org/author/72083874
143872174,D. Wood,https://www.semanticscholar.org/author/143872174
98280500,S. Patterson,https://www.semanticscholar.org/author/98280500
144622287,A. Richmond,https://www.semanticscholar.org/author/144622287
16619731,H. Dicks,https://www.semanticscholar.org/author/16619731
50478197,E. Boulding,https://www.semanticscholar.org/author/50478197
92204658,B. Benedict,https://www.semanticscholar.org/author/92204658
38827526,J. E. Spence,https://www.semanticscholar.org/author/38827526
48247979,P. Newman,https://www.semanticscholar.org/author/48247979
118896966,C. Frantz,https://www.semanticscholar.org/author/118896966
100905801,C. Rogers,https://www.semanticscholar.org/author/100905801
69531161,Philip H. Mason,https://www.semanticscholar.org/author/69531161
92776999,R. E. Baldwin,https://www.semanticscholar.org/author/92776999
144238701,V. Purcell,https://www.semanticscholar.org/author/144238701
66165691,S. Hatch,https://www.semanticscholar.org/author/66165691
49368366,M. Gluckman,https://www.semanticscholar.org/author/49368366
114223632,A. Tay,https://www.semanticscholar.org/author/114223632
66006283,P. Mcewan,https://www.semanticscholar.org/author/66006283
144121431,W. Gutteridge,https://www.semanticscholar.org/author/144121431
51406612,A. D. Grimshaw,https://www.semanticscholar.org/author/51406612
117482715,Malcolm J. C. Calley,https://www.semanticscholar.org/author/117482715
93490571,P. A. Stouse,https://www.semanticscholar.org/author/93490571
119401871,Hon. Alexander Cachia Zammit,https://www.semanticscholar.org/author/119401871
88656203,Charles Archibald Price,https://www.semanticscholar.org/author/88656203
89411404,W. F. Geyl,https://www.semanticscholar.org/author/89411404
48589554,F. Herrera,https://www.semanticscholar.org/author/48589554
113184710,G. Beijer,https://www.semanticscholar.org/author/113184710
50002775,J. J. Mol,https://www.semanticscholar.org/author/50002775
152546930,A. Richardson,https://www.semanticscholar.org/author/152546930
114018648,Manuel Diegues,https://www.semanticscholar.org/author/114018648
2450609,L. Katzen,https://www.semanticscholar.org/author/2450609
116999911,M. Zanartu,https://www.semanticscholar.org/author/116999911
1787228,W. Burns,https://www.semanticscholar.org/author/1787228
48216558,I. M. Lewis,https://www.semanticscholar.org/author/48216558
152817095,Emery F. Bacon,https://www.semanticscholar.org/author/152817095
117765297,O. D. Wollheim,https://www.semanticscholar.org/author/117765297
70623767,R. B. Davison,https://www.semanticscholar.org/author/70623767
50300463,A. Sharf,https://www.semanticscholar.org/author/50300463
103694610,John Harre,https://www.semanticscholar.org/author/103694610
66579899,P. Fordham,https://www.semanticscholar.org/author/66579899
16655895,H. Wiltshire,https://www.semanticscholar.org/author/16655895
116100719,G. K. Animashawun,https://www.semanticscholar.org/author/116100719
89708020,A. Paredes,https://www.semanticscholar.org/author/89708020
79870259,R. Thompson,https://www.semanticscholar.org/author/79870259
116548271,Harley Ross Hammond,https://www.semanticscholar.org/author/116548271
104866497,Lillian Ota Dotson,https://www.semanticscholar.org/author/104866497
108350936,Leo Kuper,https://www.semanticscholar.org/author/108350936
12121973,M. Banton,https://www.semanticscholar.org/author/12121973
16691034,H. Tajfel,https://www.semanticscholar.org/author/16691034
97504441,Desmond M. Connor,https://www.semanticscholar.org/author/97504441
117699057,Eugenio Perez Botija,https://www.semanticscholar.org/author/117699057
119108201,Por Jerzy Zubrzycki,https://www.semanticscholar.org/author/119108201
