Journal Name,Journal Publisher,Email Address
asian and pacific migration journal,scalabrini migration,centerclaims@sagepub.com
citizenship studies,carfax publishing company,Unknown
citizenship studies,routledge,Unknown
citizenship studies,unknown,routledgeinfo@tandf.co.uk
comparative migration studies,springer science and business media deutschland,gmbhinfo@springer-sbm.com
cultural diversity and ethnic minority psychology,american psychological association,20002-4242journals@apa.org
cultural diversity and mental health,educational publishing foundation,Unknown
cultural diversity and mental health,john wiley and sons inc,Unknown
cultural diversity and mental health,unknown,Unknown
ethnic and racial studies,routledge,info@tandf.co.uk
ethnicities,sage publications,ltdinfo@sagepub.co.uk
ethnicity and health,carfax publishing company,Unknown
ethnicity and health,nlm (medline),Unknown
ethnicity and health,routledge,Unknown
ethnicity and health,unknown,routledgeinfo@tandf.co.uk
european journal of migration and law,martinus nijhoff,publishersorders@brill.nl
global networks,blackwell publishing,ltdinfo@royensoc.co.uk
identities,gordon and breach science publishers,Unknown
identities,routledge,Unknown
identities,taylor and francis ltd,Unknown
identities,unknown,routledgeaabs@uw.edu
international journal of intercultural relations,elsevier ltd,Unknown
international journal of intercultural relations,unknown,Unknown
"international journal of migration, health and social care",emerald group holdings,ltd.usinfo-f@elsevier.com
international migration,blackwell publishing,ltdinfo@royensoc.co.uk
international migration review,blackwell publishing,inc.info@sagepub.co.uk
iza journal of migration,springeropen,Unknown
journal of black studies,sage publications inc,claims@sagepub.com
journal of diversity in higher education,american psychological,associationjournals@apa.org
journal of ethnic and migration studies,carfax publishing company,Unknown
journal of ethnic and migration studies,routledge,Unknown
journal of ethnic and migration studies,unknown,routledgeinfo@tandf.co.uk
journal of immigrant and refugee studies,routledge,Unknown
journal of immigrant and refugee studies,unknown,routledgeinfo@tandf.co.uk
journal of intercultural studies,routledge,Unknown
journal of intercultural studies,unknown,routledgeinfo@tandf.co.uk
journal of international migration and integration,springer science+business media,b.v.editorial@springerplus.com
journal of migration history,brill academic,publisherscs@brill.nl
journal of refugee studies,oxford university,pressjnl.info@oup.co.uk
journal of studies in international education,sage publications,inc.claims@sagepub.com
"language, culture and curriculum",multilingual matters ltd,Unknown
"language, culture and curriculum",routledge,Unknown
"language, culture and curriculum",unknown,routledgeinfo@tandf.co.uk
latino studies,palgrave macmillan,ltd.journal-info@palgrave.com
migration letters,migration,letterssales@tplondon.com
migration studies,oxford university,pressjnl.info@oup.co.uk
migration world,unknown,Unknown
mobilities,routledge,Unknown
mobilities,unknown,routledgeinfo@tandf.co.uk
patterns of prejudice,routledge,Unknown
patterns of prejudice,sage publications ltd,Unknown
patterns of prejudice,unknown,routledgeinfo@tandf.co.uk
population and development review,blackwell publishing,ltdcustomerservices@oxonblackwellpublishing.com
"population, space and place","john wiley and sons ltdsouthern gatechichester, west sussexpo",8sqvgorayska@wiley.com
race and class,sage publications,ltdinfo@sagepub.co.uk
race ethnicity and education,carfax publishing company,Unknown
race ethnicity and education,unknown,routledgeinfo@tandf.co.uk
refugee survey quarterly,oxford university,pressjnls.cust.serv@oupjournals.org
revue européenne des migrations internationales,unknown,Unknown
studi emigrazione,centro studi emigrazione,Unknown
studi emigrazione,unknown,Unknown
